region;Prix;Surface(m2);Proximiteplage;TitreFoncier;EauDisponible;electricite;Cloture;NbArbres;TypedeCulture;Irrigation;batiment;route
Hammam El Gheza;180000.0;10000.0;1;1;0;0;0;0;0;0;0;0
Hammamet;100000.0;80002.0;0;0;0;0;0;0;0;0;0;0
Ezzahra;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
El Haouaria;970000.0;970.0;0;1;0;0;0;0;0;0;0;0
Ain Tourkia;290000.0;25002.0;0;0;1;1;0;0;0;0;0;0
Tamazrat;1250000.0;2500.0;0;1;0;0;0;0;0;0;0;0
Ezzahra;795000.0;530.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;90000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Hammam El Gheza;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Dar Allouche;730400.0;913.0;0;1;0;0;0;0;0;0;0;0
Sidi Hmed;120000.0;750.0;0;0;1;0;0;0;0;0;0;1
Somaa;400000.0;40002.0;0;0;0;0;0;0;0;0;0;0
El Maamoura;200000.0;4500.0;0;0;0;0;0;0;0;0;0;0
El Kantaoui;552150.0;1227.0;0;0;0;0;0;0;0;0;0;0
Sidi Bou Ali;410000.0;6000.0;0;0;0;0;0;0;1;0;1;0
Chatt Meriem;1262500.0;5050.0;0;0;0;0;0;0;0;0;0;1
Kalaa El Kebira;135000.0;6000.0;0;0;0;0;0;0;1;0;0;0
Kerkouane;1110000.0;1850.0;1;1;0;0;0;0;0;0;0;0
Ahel Jemiaa;160000.0;4200.0;0;0;0;0;0;0;1;0;0;0
Sidi Bou Ali;160000.0;6500.0;0;0;0;0;0;0;1;0;0;0
Tamazrat;90000.0;1000.0;0;1;0;0;0;0;0;0;0;0
El Haouaria;2020000.0;2020.0;1;1;0;0;0;0;0;0;0;0
Dar Allouche;792000.0;990.0;1;1;0;0;0;0;0;0;0;0
Tamazrat;1750000.0;3500.0;0;1;0;0;0;0;0;0;0;0
Hammam Jebli;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Ezzahra;840000.0;560.0;1;1;0;0;0;0;0;0;0;0
Kerkouane;90000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Kalaa El Kebira;215000.0;9000.0;0;0;0;0;0;50;1;0;0;0
Soliman;950000.0;450000.0;0;1;0;0;0;0;0;0;0;0
Chatt Meriem;105000.0;311.0;0;0;0;0;0;0;0;0;0;0
El Marja;1000000.0;20002.0;0;1;0;0;0;0;0;0;1;0
Dar Allouche;672000.0;840.0;1;1;0;0;0;0;0;0;0;0
Kelibia;90000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Kelibia;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;967500.0;645.0;1;1;0;0;0;0;0;0;0;0
Belaoum;450000.0;250000000.0;0;0;0;0;0;0;1;0;0;0
Ezzahra;90000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Tamazrat;1000000.0;2000.0;0;1;0;0;0;0;0;0;0;0
El Haouaria;970000.0;970.0;1;1;0;0;0;0;0;0;0;0
Kalaa El Kebira;350000.0;4706.0;0;0;0;0;1;100;1;0;0;0
Kerkouane;1410000.0;2350.0;0;1;0;0;0;0;0;0;0;0
Kerkouane;90000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Tamazrat;1250000.0;2500.0;1;1;0;0;0;0;0;0;0;0
Hammam Jebli;1690000.0;1300.0;0;1;0;0;0;0;0;0;0;0
Metlaoui;3500000.0;5000000.0;0;0;0;1;0;0;0;0;0;0
Ezzahra;795000.0;5302.0;0;1;0;0;0;0;0;0;0;0
Oued Laya;580000.0;163842.0;0;0;1;0;0;0;0;0;0;0
Jebel El Oust;950000.0;100000.0;0;0;0;0;0;1100;1;1;0;0
Akouda;100800.0;336.0;0;1;0;0;0;0;0;0;0;0
Chatt Meriem;1170000.0;9000.0;0;0;0;0;0;0;0;0;0;0
Kalaa El Kebira;410000.0;20000.0;0;0;0;0;0;0;1;0;0;0
Ezzahra;180000.0;10000.0;1;1;0;0;0;0;0;0;0;0
El Haouaria;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Tamazrat;1750000.0;3500.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;840000.0;560.0;0;1;0;0;0;0;0;0;0;0
Kerkouane;1980000.0;3300.0;0;1;0;0;0;0;0;0;0;0
Dar Allouche;792000.0;990.0;0;1;0;0;0;0;0;0;0;0
Kerkouane;90000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Borj Touil;500000.0;15.0;0;0;0;0;0;0;0;0;0;1
Hammam El Gheza;180000.0;10000.0;1;1;0;0;0;0;0;0;0;0
Dar Allouche;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Hammam Jebli;1179100.0;907.0;0;1;0;0;0;0;0;0;0;0
Kalaa El Kebira;160000.0;4472.0;0;1;0;1;0;40;1;0;0;0
Ezzahra;967500.0;645.0;1;1;0;0;0;0;0;0;0;0
Kelibia;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Kerkouane;1260000.0;2100.0;1;1;0;0;0;0;0;0;0;0
Cite Chragui;510000.0;800.0;0;0;0;0;0;0;0;0;0;0
Kelibia;1735000.0;694.0;1;1;0;0;0;0;0;0;0;0
Chatt Meriem;90000.0;2400.0;0;0;0;0;0;0;1;0;0;0
Hammam Jebli;1586000.0;1220.0;0;1;0;0;0;0;0;0;0;0
Tamazrat;1000000.0;2000.0;0;1;0;0;0;0;0;0;0;0
Kalaa El Kebira;1500000.0;5000.0;0;0;0;0;0;0;1;0;0;1
Somaa;250000.0;7000.0;0;0;0;0;0;0;0;0;0;1
Barraket Essahe;120000.0;1000.0;0;0;0;0;0;0;0;0;0;0
Feriana;450000.0;90000.0;0;0;0;0;0;1000;1;0;0;0
Hammamet;75000.0;5000.0;0;0;1;1;0;0;0;0;0;0
Hammam El Gheza;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Ezzahra;90000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Ezzahra;795000.0;530.0;0;1;0;0;0;0;0;0;0;0
Hammam El Gheza;1819000.0;1070.0;1;1;0;0;0;0;0;0;0;0
Kelibia;2132500.0;853.0;1;1;0;0;0;0;0;0;0;0
Esslouguia;100000.0;20000.0;0;0;0;0;0;0;0;0;0;0
Ferjoun;160000.0;150020000.0;0;0;0;0;0;0;0;0;0;0
Chatt Meriem;442530.0;1640.0;0;0;0;0;0;0;0;0;0;0
Chatt Meriem;333370.0;1961.0;0;0;0;0;0;0;0;0;0;0
Mejez El Bab;75000.0;5830.0;0;0;0;0;0;24;1;0;0;0
Korba;1200000.0;100000.0;0;0;0;0;0;0;1;1;1;0
Kalaa Essghira;550000.0;7890.0;0;0;0;0;0;0;0;0;0;0
Hammamet;75000.0;426.0;0;0;1;0;0;0;0;0;0;0
Sidi Thabet;1700000.0;20000.0;0;0;0;0;0;0;0;0;1;0
Bir Mcherga;400000.0;90000.0;0;0;0;0;0;0;0;0;0;0
Bir Drassen;2500000.0;100000.0;0;0;1;0;0;0;2;0;1;0
Hammam Jebli;1179100.0;907.0;1;1;0;0;0;0;0;0;0;0
Chatt Meriem;375000.0;2500.0;0;0;0;0;0;0;0;0;0;0
Chatt Meriem;724920.0;2589.0;0;0;0;0;0;0;0;0;0;0
Ezzahra;967500.0;645.0;0;1;0;0;0;0;0;0;0;0
Kelibia;90000.0;3332.0;0;0;0;0;0;0;0;0;0;0
Hammam El Gheza;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Kerkouane;90000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Essalloum;300000.0;3000.0;1;0;0;0;0;0;0;0;0;0
Enfidha;390000.0;180000.0;0;0;0;0;0;0;0;0;0;0
Methalithe;490000.0;100000.0;0;0;0;0;0;0;0;0;0;0
Tamazrat;1000000.0;2000.0;1;1;0;0;0;0;0;0;0;0
Hammam Jebli;1586000.0;1220.0;1;1;0;0;0;0;0;0;0;0
Kerkouane;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Kerkouane;960000.0;1600.0;0;1;0;0;0;0;0;0;0;0
Dar Allouche;920000.0;1150.0;0;1;0;0;0;0;0;0;0;0
Kelibia;1950000.0;780.0;1;1;0;0;0;0;0;0;0;0
Hammam El Gheza;180000.0;10000.0;0;1;0;0;0;0;0;0;0;0
Chatt Meriem;438520.0;1154.0;0;0;0;0;0;0;0;0;0;0
Chatt Meriem;260000.0;4300.0;0;0;0;0;0;40;1;0;1;0
Hammam Jebli;1690000.0;1300.0;1;1;0;0;0;0;0;0;0;0
El Kantaoui;390500.0;781.0;0;0;0;0;0;0;0;0;0;0
Korba;1250000.0;810000.0;0;0;0;0;0;50;1;0;1;0
Menzel Bouzelfa;450000.0;220000.0;0;0;0;1;0;860;0;0;0;0
Korba;700000.0;70000.0;0;0;0;0;0;500;1;0;0;0
